                        ReAV    ReAIV   EcAI    EcAII   EcAIII
Desantisbacteria        0       0       0       2       0       
Firmicutes_G            4       24      3       7       13      
Edwardsbacteria         0       0       3       6       0       
GCA-001730085           0       0       0       0       0       
Desulfobacterota_E      0       0       0       0       0       
Planctomycetota         10      80      150     84      538     
Caldatribacteriota      1       1       10      0       11      
Gemmatimonadota_A       0       0       1       0       0       
SpSt-1050               0       0       0       1       0       
UBP4                    0       0       0       0       0       
Acidobacteriota         12      73      174     205     753     
Firmicutes_H            3       8       0       8       0       
WOR-3                   0       0       4       11      39      
Desulfobacterota_B      0       0       0       30      28      
Gemmatimonadota         46      114     41      106     227     
Omnitrophota            0       0       0       5       2       
SZUA-182                0       0       0       0       0       
CSP1-3                  0       3       1       3       1       
Zixibacteria            10      16      3       11      9       
Aquificota              0       0       1       0       1       
UBA3054                 0       0       0       0       0       
JABDJQ01                0       1       0       0       0       
Eremiobacterota         0       42      4       14      6       
Schekmanbacteria        0       0       0       0       0       
Firmicutes_B            17      44      22      32      19      
Spirochaetota           2       4       186     50      24      
CG2-30-53-67            0       0       0       0       0       
Aerophobota             0       0       0       0       3       
NPL-UPA2                0       0       0       0       0       
Actinobacteriota        175     4144    715     2458    336     
Aureabacteria           0       0       0       0       0       
Ratteibacteria          0       0       0       0       0       
Tectomicrobia           0       0       1       4       1       
Krumholzibacteriota     0       0       14      13      18      
RBG-13-61-14            0       0       0       0       0       
Riflebacteria           0       0       10      5       0       
Desulfobacterota        4       17      68      215     42      
FEN-1099                0       0       0       0       1       
SAR324                  0       7       2       9       13      
Cloacimonadota          2       0       5       47      2       
AABM5-125-24            0       3       2       4       2       
Aureabacteria_A         0       0       0       0       0       
Firmicutes_F            0       17      4       7       0       
Fusobacteriota          0       0       56      0       26      
Bipolaricaulota         0       0       2       5       1       
Dependentiae            0       0       0       0       0       
JACIXR01                0       0       0       0       0       
SZUA-79                 0       0       0       0       0       
Verrucomicrobiota       1       3       53      126     256     
Desulfobacterota_D      0       0       0       0       1       
Moduliflexota           0       0       2       2       1       
Eisenbacteria           4       11      4       4       5       
UBP6                    0       0       7       0       0       
Firmicutes_E            8       23      2       23      9       
Dictyoglomota           0       0       0       0       0       
UBA6262                 0       0       0       0       0       
Nitrospirota_A          0       0       0       0       5       
FCPU426                 0       0       0       0       0       
Deferribacterota        0       0       1       1       0       
Mcinerneyibacteriota    0       1       0       2       0       
T1SED10-198M            0       0       0       0       0       
Bacteroidota            2       44      4895    1154    5682    
Nitrospinota_B          0       0       0       0       0       
J088                    0       0       0       0       0       
Cyanobacteria           656     521     14      63      470     
UBA10199                0       0       1       2       0       
Chrysiogenetota         0       0       0       0       0       
UBA2233                 0       0       0       0       0       
DUMJ01                  0       0       0       0       4       
B130-G9                 0       0       0       0       0       
Firmicutes_A            105     119     1900    505     197     
UBP7_A                  0       0       0       0       0       
BMS3Abin14              0       0       0       0       0       
UBP7                    0       0       0       0       3       
Delongbacteria          0       0       1       6       7       
Nitrospinota_A          0       0       0       3       0       
Synergistota            0       2       54      67      1       
4572-55                 0       0       0       2       1       
Firestonebacteria       0       0       0       0       0       
Desulfobacterota_C      0       4       2       2       0       
Chloroflexota           87      232     40      238     287     
ARS69                   0       1       0       0       0       
Deinococcota            47      31      17      72      48      
Desulfobacterota_F      0       0       7       23      3       
CG03                    0       0       1       1       0       
UBP18                   0       0       0       0       0       
RUG730                  0       0       0       0       0       
Poribacteria            2       5       0       0       7       
Thermodesulfobiota      0       0       0       2       0       
Desulfobacterota_G      0       0       0       5       4       
Abyssubacteria          0       0       0       0       0       
DSWW01                  0       0       0       0       0       
Fibrobacterota          0       0       3       47      1       
CSSED10-310             0       0       0       1       0       
UBP15                   0       0       0       0       0       
Nitrospirota            0       1       2       2       101     
DTU030                  1       9       4       1       0       
Latescibacterota        0       0       0       0       27      
CG2-30-70-394           0       0       0       0       0       
Lindowbacteria          0       0       0       0       0       
Armatimonadota          4       17      3       4       81      
UBP17                   0       0       2       0       1       
Calditrichota           0       0       14      3       16      
UBA8481                 0       0       0       0       0       
Nitrospinota            0       0       0       0       13      
Elusimicrobiota         0       0       10      37      4       
T1Sed10-126             0       0       0       0       0       
Methylomirabilota       0       0       1       14      39      
CLD3                    0       1       3       1       3       
Calescibacterota        0       0       0       0       0       
Sumerlaeota             0       0       0       0       2       
TA06                    0       0       0       0       2       
